Player,Nation,Squad,Age,Born,90s,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,Position
Davide Frattesi,ITA,Inter,24,1999,7.9,1,0,0,10,11,0,11,4,2,1,0,0,34,9,11,45.0,MF
Morten Frendrup,DEN,Genoa,23,2001,30.0,6,0,0,44,31,1,10,42,66,0,1,0,174,30,24,55.6,MF
Remo Freuler,SUI,Bologna,32,1992,26.4,9,0,0,41,15,0,9,34,43,0,0,0,126,19,26,42.2,MF
Matteo Gabbia,ITA,Milan,24,1999,12.0,4,0,0,24,7,0,0,10,18,0,0,0,52,27,10,73.0,DF
Gianluca Gaetano,ITA,Cagliari,23,2000,6.1,1,0,0,7,10,2,9,3,3,0,0,0,34,3,16,15.8,FW
Gianluca Gaetano,ITA,Napoli,23,2000,1.8,1,0,0,3,1,0,3,1,1,1,0,0,15,1,3,25.0,MF
Roberto Gagliardini,ITA,Monza,30,1994,24.7,5,0,0,24,20,1,5,31,29,0,1,0,137,41,35,53.9,MF
Pablo Galdames Millán,CHI,Genoa,27,1996,0.1,0,0,0,1,0,0,0,0,0,0,0,0,2,1,1,50.0,MF
Antonino Gallo,ITA,Lecce,24,2000,24.0,2,0,0,8,17,3,116,24,24,0,0,0,131,20,28,41.7,DF
Luca Garritano,ITA,Frosinone,30,1994,5.4,1,0,0,6,7,0,16,4,5,0,0,0,34,3,7,30.0,MF
Federico Gatti,ITA,Juventus,25,1998,26.7,7,0,0,33,15,0,19,19,17,1,0,2,105,44,27,62.0,DF
Francesco Gelli,ITA,Frosinone,27,1996,16.4,2,0,0,13,36,1,52,11,12,0,0,0,78,14,14,50.0,MF
Luca Gemello,ITA,Torino,23,2000,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,GK
Valentin Gendrey,FRA,Lecce,23,2000,30.5,5,0,0,25,36,3,52,34,32,0,1,0,90,48,36,57.1,DF
Farés Ghedjemis,FRA,Frosinone,21,2002,2.0,1,0,0,2,0,1,6,1,0,0,0,0,10,1,2,33.3,FW
Lautaro Gianetti,ARG,Udinese,30,1993,7.0,4,0,0,9,0,0,0,19,4,0,0,1,25,8,8,50.0,DF
Mario Gila,ESP,Lazio,23,2000,18.2,4,1,1,19,20,0,8,17,12,0,0,0,96,27,41,39.7,DF
Gvidas Gineitis,LTU,Torino,20,2004,6.0,2,0,0,9,3,0,22,4,7,0,0,0,37,7,5,58.3,MF
Olivier Giroud,FRA,Milan,37,1986,23.7,1,1,0,30,22,14,3,5,8,0,1,0,28,53,49,52.0,FW
Edoardo Goldaniga,ITA,Cagliari,30,1993,11.2,3,0,0,14,10,3,10,15,7,0,0,0,37,18,18,50.0,DF
Pierluigi Gollini,ITA,Napoli,29,1995,7.0,0,0,0,0,1,0,0,1,1,0,0,0,12,2,0,100.0,GK
Papu Gómez,ARG,Monza,36,1988,0.5,0,0,0,0,0,0,5,1,0,0,0,0,3,0,0,,MF
Iron Gomis,FRA,Salernitana,24,1999,1.5,0,0,0,2,2,1,1,2,1,0,0,0,10,3,0,100.0,MF
Joan Gonzàlez,ESP,Lecce,22,2002,13.1,6,0,0,14,30,1,9,4,16,0,0,0,72,21,35,37.5,MF
Player,,Squad,Ag,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Po
Nicolás González,ARG,Fiorentina,26,1998,17.9,1,0,0,18,35,1,36,10,17,0,0,0,67,49,39,55.7,FW
Alberto Grassi,ITA,Empoli,29,1995,18.6,4,0,0,21,33,0,5,39,14,0,0,1,109,23,26,46.9,MF
Mattéo Guendouzi,FRA,Lazio,25,1999,23.9,2,1,0,25,31,0,40,19,13,0,1,0,108,11,23,32.4,MF
Axel Guessand,FRA,Udinese,19,2004,0.5,0,0,0,0,1,0,0,0,1,0,0,0,3,1,1,50.0,DF
Albert Guðmundsson,ISL,Genoa,26,1997,30.6,4,0,0,26,45,9,163,10,10,1,0,0,123,3,20,13.0,FW
Emmanuel Gyasi,GHA,Empoli,30,1994,17.4,5,0,0,33,20,5,20,5,15,0,0,0,74,12,30,28.6,DF
Norbert Gyömbér,SVK,Salernitana,31,1992,18.7,9,0,0,31,17,0,0,23,18,0,1,1,108,30,26,53.6,DF
Nicolas Haas,SUI,Empoli,28,1996,1.0,1,0,0,1,1,0,0,1,3,0,0,0,9,3,0,100.0,MF
Ridgeciano Haps,SUR,Genoa,30,1993,8.1,0,0,0,3,13,1,13,6,6,0,0,0,30,9,6,60.0,DF
Abdou Harroui,NED,Frosinone,26,1998,9.4,2,0,0,16,15,1,10,3,8,0,0,0,46,9,7,56.3,MF
Hans Hateboer,NED,Atalanta,30,1994,9.3,4,0,0,12,3,0,25,2,5,0,1,0,31,13,9,59.1,DF
Pantelis Hatzidiakos,GRE,Cagliari,27,1997,9.0,1,0,0,7,4,0,5,12,10,0,0,0,49,5,8,38.5,DF
Silvan Hefti,SUI,Genoa,26,1997,1.3,0,0,0,2,1,0,2,0,1,0,0,0,3,2,2,50.0,MF
Liam Henderson,SCO,Empoli,28,1996,0.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,MF
Matheus Henrique,BRA,Sassuolo,26,1997,24.9,6,0,0,19,36,2,24,22,26,0,0,0,120,12,10,54.5,MF
Thomas Henry,FRA,Hellas Verona,29,1994,3.7,2,1,0,14,5,3,2,0,0,0,0,0,7,19,20,48.7,FW
Theo Hernández,FRA,Milan,26,1997,28.8,11,1,0,36,46,1,65,21,15,1,1,0,162,27,16,62.8,DF
Isak Hien,SWE,Hellas Verona,25,1999,9.6,1,1,0,11,2,0,0,7,10,0,0,0,66,34,24,58.6,DF
Isak Hien,SWE,Atalanta,25,1999,6.1,2,0,0,10,4,2,0,8,8,0,0,0,38,17,10,63.0,DF
Emil Holm,SWE,Atalanta,23,2000,9.2,5,0,0,12,17,1,33,7,16,2,0,0,50,24,24,50.0,DF
Martin Hongla,CMR,Hellas Verona,26,1998,12.0,0,0,0,6,6,1,4,7,13,0,0,0,79,9,10,47.4,MF
Sydney van Hooijdonk,NED,Bologna,24,2000,2.4,0,0,0,6,2,1,1,1,0,0,0,0,3,5,12,29.4,FW
Dean Huijsen,ESP,Roma,19,2005,5.7,4,0,0,10,2,0,1,4,5,1,0,1,24,9,7,56.3,DF
Dean Huijsen,ESP,Juventus,19,2005,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,DF
Elseid Hysaj,ALB,Lazio,30,1994,10.0,2,0,0,9,6,2,14,11,11,0,0,0,60,12,10,54.5,DF
Player,,Squad,Ag,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Po
Arijon Ibrahimović,GER,Frosinone,18,2005,5.2,1,0,0,3,4,2,7,1,6,0,0,0,19,5,8,38.5,FW
Jonathan Ikone,FRA,Fiorentina,25,1998,16.9,5,0,0,14,11,4,11,2,11,1,0,0,56,10,22,31.3,FW
Chukwubuikem Ikwuemesi,NGA,Salernitana,22,2001,10.3,2,0,0,29,17,8,2,1,0,0,0,0,17,23,51,31.1,FW
Ivan Ilić,SRB,Torino,23,2001,19.3,3,0,0,19,19,1,74,16,6,0,1,0,95,16,18,47.1,MF
Samuel Iling-Junior,ENG,Juventus,20,2003,6.5,1,0,0,12,4,1,36,4,11,0,0,0,34,8,3,72.7,DF
Ciro Immobile,ITA,Lazio,34,1990,16.7,8,0,0,20,27,12,7,5,7,2,0,0,32,13,23,36.1,FW
Gino Infantino,ARG,Fiorentina,20,2003,0.9,1,0,0,3,1,0,0,1,1,0,0,0,2,1,5,16.7,MF
Gustav Isaksen,DEN,Lazio,23,2001,11.9,3,0,0,17,24,3,29,4,3,0,0,0,41,4,7,36.4,FW
Ardian Ismajli,ALB,Empoli,27,1996,18.7,1,0,0,13,9,0,4,19,15,0,1,0,67,43,32,57.3,DF
Armando Izzo,ITA,Monza,32,1992,14.8,9,0,0,26,17,1,3,23,15,0,0,0,70,12,16,42.9,DF
Filip Jagiełło,POL,Genoa,26,1997,0.4,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,,MF
Jakub Jankto,CZE,Cagliari,28,1996,9.7,0,0,0,9,8,1,26,5,9,0,0,0,33,3,8,27.3,MF
Juan Jesus,BRA,Napoli,32,1991,21.5,7,0,0,28,8,0,0,21,17,0,1,0,104,45,44,50.6,DF
Alejandro Jiménez,ESP,Milan,18,2005,0.8,1,0,0,2,1,0,1,0,1,0,0,0,2,0,0,,DF
Kaio Jorge,BRA,Frosinone,22,2002,8.8,2,0,0,8,10,2,3,1,4,0,0,0,29,8,22,26.7,FW
Luka Jović,SRB,Milan,26,1997,8.7,2,1,0,7,10,2,1,1,4,0,0,0,18,14,12,53.8,FW
Hamed Junior Traorè,CIV,Napoli,24,2000,3.9,1,0,0,3,7,1,7,2,1,0,0,0,18,1,5,16.7,MF
Mohamed Kaba,FRA,Lecce,22,2001,15.3,4,1,1,26,21,0,7,12,23,0,0,0,84,21,18,53.8,MF
Christian Kabasele,BEL,Udinese,33,1991,9.6,5,0,0,15,9,0,2,12,7,0,2,0,22,26,10,72.2,DF
Yayah Kallon,SLE,Hellas Verona,22,2001,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,FW
Pierre Kalulu,FRA,Milan,23,2000,2.0,0,0,0,1,2,0,2,1,0,0,0,0,10,3,4,42.9,DF
Daichi Kamada,JPN,Lazio,27,1996,13.7,1,0,0,32,12,1,10,14,28,0,0,0,62,3,16,15.8,MF
Hassane Kamara,CIV,Udinese,30,1994,20.9,4,0,0,18,7,6,60,25,24,0,0,0,118,14,12,53.8,DF
Yann Karamoh,FRA,Torino,25,1998,1.8,0,0,0,2,3,2,5,0,0,0,0,0,10,2,2,50.0,MF
Jesper Karlsson,SWE,Bologna,25,1998,3.6,0,0,0,2,1,1,21,3,3,0,0,0,14,0,2,0.0,FW
Player,,Squad,Ag,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Po
Rick Karsdorp,NED,Roma,29,1995,13.2,2,0,0,9,9,0,28,9,18,1,0,0,50,5,2,71.4,DF
Grigoris Kastanos,CYP,Salernitana,26,1998,14.7,5,0,0,18,38,1,37,8,12,0,0,0,78,21,31,40.4,MF
Michael Kayode,ITA,Fiorentina,19,2004,21.0,2,0,0,14,16,1,62,16,28,0,0,0,97,16,16,50.0,DF
Moise Kean,ITA,Juventus,24,2000,6.6,2,0,0,13,10,7,1,2,4,0,0,0,17,8,4,66.7,FW
Simon Kjær,DEN,Milan,35,1989,13.0,1,0,0,9,2,0,1,14,15,1,0,0,59,23,17,57.5,DF
Davy Klaassen,NED,Inter,31,1993,1.8,1,0,0,2,0,1,0,2,2,0,0,0,9,4,1,80.0,MF
Sead Kolašinac,BIH,Atalanta,30,1993,24.2,4,0,0,29,20,1,9,21,32,0,0,0,151,34,33,50.7,DF
Teun Koopmeiners,NED,Atalanta,26,1998,25.7,4,0,0,47,22,3,102,9,22,0,1,0,127,25,32,43.9,MF
Filip Kostić,SRB,Juventus,31,1992,19.3,2,0,0,19,18,6,157,9,23,0,0,0,72,10,16,38.5,DF
Christian Kouamé,CIV,Fiorentina,26,1997,10.4,0,0,0,14,20,0,19,0,2,0,0,0,61,50,38,56.8,FW
Viktor Kovalenko,UKR,Empoli,28,1996,6.8,1,0,0,7,10,2,13,1,2,0,0,0,23,8,13,38.1,MF
Rasmus Kristensen,DEN,Roma,26,1997,17.4,5,0,0,14,6,1,40,5,15,1,0,1,62,29,19,60.4,DF
Thomas Kristensen,DEN,Udinese,22,2002,19.3,4,1,1,19,5,1,0,25,22,0,0,0,60,49,33,59.8,DF
Nikola Krstović,MNE,Lecce,24,2000,22.8,4,1,0,42,49,13,3,4,4,1,0,0,61,54,72,42.9,FW
Rade Krunić,BIH,Milan,30,1993,7.6,3,0,0,10,11,0,4,11,8,0,0,0,41,11,6,64.7,MF
Marash Kumbulla,ALB,Sassuolo,24,2000,1.5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,DF
Justin Kumi,ITA,Sassuolo,19,2004,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FW
Berkan Kutlu,TUR,Genoa,26,1998,2.2,0,0,0,4,4,0,12,4,4,0,0,0,6,2,2,50.0,MF
Khvicha Kvaratskhelia,GEO,Napoli,23,2001,27.6,6,0,0,21,74,4,89,12,19,2,0,0,89,9,18,33.3,FW
Giorgi Kvernadze,GEO,Frosinone,21,2003,0.7,0,0,0,3,1,0,1,1,0,0,0,0,4,0,0,,FW
Giorgos Kyriakopoulos,GRE,Monza,28,1996,17.1,3,0,0,15,13,2,75,12,9,0,1,0,65,11,16,40.7,DF
Gianluca Lapadula,PER,Cagliari,34,1990,10.2,3,0,0,15,12,10,6,2,1,0,0,0,21,13,26,33.3,FW
Armand Lauriente,FRA,Sassuolo,25,1998,29.1,5,0,0,31,47,4,123,13,15,0,0,0,126,4,18,18.2,FW
Valentino Lazaro,AUT,Torino,28,1996,21.3,3,0,0,12,9,1,120,8,10,0,0,0,101,14,19,42.4,DF
Darko Lazović,SRB,Hellas Verona,33,1990,18.2,0,1,0,5,4,10,71,3,13,0,0,0,53,8,9,47.1,FW
Player,,Squad,Ag,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Po
Manuel Lazzari,ITA,Lazio,30,1993,17.3,3,1,0,14,19,1,52,12,18,0,0,0,68,5,14,26.3,DF
Nicola Leali,ITA,Genoa,31,1993,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,GK
Rafael Leão,POR,Milan,24,1999,25.7,5,0,0,20,51,15,98,9,10,2,1,0,75,22,17,56.4,FW
Jesper Lindstrøm,DEN,Napoli,24,2000,3.8,2,0,0,5,3,2,6,2,2,0,0,0,13,1,2,33.3,FW
Karol Linetty,POL,Torino,29,1995,17.6,10,0,0,43,18,1,16,16,19,0,0,0,88,17,16,51.5,MF
Luca Lipani,ITA,Sassuolo,18,2005,2.5,0,0,0,3,0,0,1,4,3,0,0,0,15,4,6,40.0,MF
Pol Lirola,ESP,Frosinone,26,1997,13.4,1,0,0,5,10,2,22,17,13,0,0,0,66,11,18,37.9,DF
Marcin Listkowski,POL,Lecce,26,1998,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FW
Diego Llorente,ESP,Roma,30,1993,22.1,5,0,0,23,23,0,5,19,19,0,1,0,89,39,43,47.6,DF
Stanislav Lobotka,SVK,Napoli,29,1994,32.5,4,0,0,27,35,0,3,25,35,0,0,0,217,9,20,31.0,MF
Manuel Locatelli,ITA,Juventus,26,1998,30.4,6,0,0,34,22,2,9,25,39,0,0,0,155,23,15,60.5,MF
Ruben Loftus-Cheek,ENG,Milan,28,1996,23.0,5,0,0,39,45,1,13,9,18,1,0,0,91,43,31,58.1,MF
Ademola Lookman,NGA,Atalanta,26,1997,18.1,4,0,0,26,27,9,60,8,13,0,0,0,73,15,21,41.7,FW
Maxime Lopez,FRA,Fiorentina,26,1997,7.1,1,0,0,8,4,0,14,2,7,0,0,0,35,2,2,50.0,MF
Maxime Lopez,FRA,Sassuolo,26,1997,1.6,0,1,0,2,2,0,0,2,1,0,0,0,10,0,1,0.0,MF
Matteo Lovato,ITA,Torino,24,2000,4.7,2,0,0,13,0,0,0,12,7,0,1,0,18,11,8,57.9,DF
Matteo Lovato,ITA,Salernitana,24,2000,10.5,2,0,0,7,5,0,1,18,14,0,2,0,47,15,18,45.5,DF
Sandi Lovrić,SVN,Udinese,26,1998,22.1,1,1,0,25,23,1,82,21,12,0,0,0,118,8,18,30.8,MF
Lorenzo Lucca,ITA,Udinese,23,2000,25.5,6,0,0,43,47,17,6,3,9,0,0,0,60,87,75,53.7,FW
Jhon Lucumí,COL,Bologna,25,1998,20.6,0,0,0,8,12,0,1,11,27,0,0,0,130,22,22,50.0,DF
José Luis Palomino,ARG,Atalanta,34,1990,0.3,0,0,0,0,0,0,0,1,1,0,0,0,3,3,0,100.0,DF
Romelu Lukaku,BEL,Roma,30,1993,26.6,4,1,0,24,15,24,11,0,4,0,0,0,51,48,50,49.0,FW
Karlo Lulić,CRO,Frosinone,27,1996,0.2,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0.0,MF
Sebastiano Luperto,ITA,Empoli,27,1996,34.0,4,0,0,26,15,1,10,27,23,0,0,0,127,65,54,54.6,DF
Mateus Lusuardi,BRA,Frosinone,20,2004,2.4,1,0,0,2,0,0,1,4,1,0,1,0,7,3,1,75.0,DF
Player,,Squad,Ag,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Po
Zito Luvumbo,ANG,Cagliari,22,2002,18.5,5,0,0,29,55,11,72,1,4,1,0,0,57,4,24,14.3,FW
Charalambos Lykogiannis,GRE,Bologna,30,1993,9.0,2,0,0,10,0,2,50,5,5,0,0,0,29,12,11,52.2,DF
Giulio Maggiore,ITA,Salernitana,26,1998,18.6,9,1,1,38,37,1,3,23,28,0,1,0,129,22,41,34.9,MF
Giangiacomo Magnani,ITA,Hellas Verona,28,1995,25.0,5,0,0,23,23,0,12,41,18,1,0,0,134,40,29,58.0,DF
Mike Maignan,FRA,Milan,28,1995,29.0,1,1,0,1,5,0,0,1,0,0,0,0,38,7,1,87.5,GK
Antoine Makoumbou,CGO,Cagliari,25,1998,29.0,5,2,1,27,28,1,11,15,21,0,0,0,156,11,16,40.7,MF
Daniel Maldini,ITA,Monza,22,2001,3.7,0,0,0,3,5,2,9,2,2,0,0,0,11,1,5,16.7,MF
Daniel Maldini,ITA,Empoli,22,2001,2.9,1,0,0,8,5,0,5,2,2,0,0,0,6,7,5,58.3,FW
Youssef Maleh,MAR,Empoli,25,1998,25.8,10,0,0,50,33,0,45,20,46,0,2,0,158,14,33,29.8,MF
Ruslan Malinovskyi,UKR,Genoa,30,1993,16.4,7,0,0,30,17,0,18,4,17,0,0,0,84,22,19,53.7,MF
Gianluca Mancini,ITA,Roma,28,1996,29.8,9,0,0,48,31,0,24,29,16,0,0,0,99,41,33,55.4,DF
Marco Mancosu,ITA,Cagliari,35,1988,1.7,0,0,0,3,1,2,4,0,0,0,0,0,8,0,4,0.0,MF
Christos Mandas,GRE,Lazio,22,2001,6.0,0,0,0,0,1,0,0,0,0,0,0,0,7,1,0,100.0,GK
Rolando Mandragora,ITA,Fiorentina,26,1997,15.7,2,0,0,21,20,0,26,8,11,0,0,0,57,28,35,44.4,MF
Kostas Manolas,GRE,Salernitana,32,1991,5.2,0,0,0,5,3,0,1,2,5,0,0,0,16,20,8,71.4,DF
Riccardo Marchizza,ITA,Frosinone,26,1998,12.8,1,0,0,6,3,0,22,7,6,0,0,0,43,9,12,42.9,DF
Gian Marco Ferrari,ITA,Sassuolo,32,1992,21.2,4,0,0,22,19,0,11,20,8,0,3,0,88,32,33,49.2,DF
Pablo Marí,ESP,Monza,30,1993,25.3,7,0,0,32,8,0,3,32,22,0,1,0,85,34,18,65.4,DF
Mirko Marić,CRO,Monza,28,1995,3.2,0,1,0,4,5,3,1,2,0,0,0,0,11,11,17,39.3,FW
Răzvan Marin,ROU,Empoli,27,1996,17.1,1,0,0,22,13,1,77,5,17,0,0,0,75,11,10,52.4,MF
Agustín Martegani,ARG,Salernitana,23,2000,8.1,1,0,0,10,14,0,1,4,7,0,0,0,51,6,5,54.5,MF
Aarón Martín,ESP,Genoa,27,1997,10.8,4,1,1,16,15,2,80,7,6,0,0,0,38,4,7,36.4,DF
Josep Martinez,ESP,Genoa,25,1998,32.0,4,1,1,2,11,0,0,1,0,0,1,0,53,12,1,92.3,GK
Lautaro Martínez,ARG,Inter,26,1997,27.2,5,0,0,43,53,11,14,20,16,2,1,0,85,33,26,55.9,FW
Lucas Martínez Quarta,ARG,Fiorentina,27,1996,22.2,8,0,0,32,11,1,4,27,40,0,0,0,121,46,49,48.4,DF
Player,,Squad,Ag,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Po
Adam Marušić,MNE,Lazio,31,1992,30.4,3,1,0,21,10,3,43,29,27,0,1,0,143,26,30,46.4,DF
Adam Masina,MAR,Udinese,30,1994,0.7,2,0,0,3,0,0,0,2,0,0,0,0,5,4,1,80.0,DF
Adam Masina,MAR,Torino,30,1994,7.5,0,0,0,14,2,0,3,6,9,0,0,0,40,18,10,64.3,DF
Alan Matturro,URU,Genoa,19,2004,1.0,0,0,0,0,0,0,0,2,1,0,0,1,6,2,1,66.7,DF
Luca Mazzitelli,ITA,Frosinone,28,1995,23.1,6,1,1,44,36,1,40,16,23,0,0,0,121,41,36,53.2,MF
Pasquale Mazzocchi,ITA,Salernitana,28,1995,14.1,4,0,0,23,9,3,42,5,19,0,0,0,72,6,26,18.8,DF
Pasquale Mazzocchi,ITA,Napoli,28,1995,3.6,0,1,0,6,6,0,10,1,2,0,0,0,15,9,5,64.3,DF
Jordi Mboula,ESP,Hellas Verona,25,1999,3.4,0,0,0,5,4,2,8,1,4,0,0,0,6,4,14,22.2,FW
Weston McKennie,USA,Juventus,25,1998,27.3,6,0,0,23,12,4,55,17,28,0,0,0,109,36,33,52.2,MF
Arthur Melo,BRA,Fiorentina,27,1996,19.8,2,0,0,18,45,0,19,16,27,1,0,0,131,7,6,53.8,MF
Leonardo Mendicino,ITA,Atalanta,17,2006,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,MF
Alex Meret,ITA,Napoli,27,1997,26.8,0,0,0,0,2,0,0,0,0,0,0,0,49,4,1,80.0,GK
Junior Messias,BRA,Genoa,32,1991,11.7,0,0,0,7,22,5,24,5,20,0,0,0,54,15,24,38.5,MF
Nikola Milenković,SRB,Fiorentina,26,1997,24.2,4,0,0,26,21,0,0,24,18,0,1,0,98,94,22,81.0,DF
Arkadiusz Milik,POL,Juventus,30,1994,8.8,2,1,0,20,23,11,4,4,4,0,0,0,29,22,30,42.3,FW
Vanja Milinković-Savić,SRB,Torino,27,1997,33.0,2,0,0,0,2,0,0,1,0,0,0,0,45,9,2,81.8,GK
Yerry Mina,COL,Fiorentina,29,1994,0.5,1,0,0,3,2,0,0,0,1,0,0,0,6,1,0,100.0,DF
Yerry Mina,COL,Cagliari,29,1994,9.5,2,0,0,10,12,0,1,3,9,0,1,0,36,24,12,66.7,DF
Aleksei Miranchuk,RUS,Atalanta,28,1995,11.0,1,0,0,11,29,2,73,2,5,0,0,0,55,7,11,38.9,MF
Kevin Miranda,ITA,Sassuolo,21,2003,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,DF
Antonio Mirante,ITA,Milan,40,1983,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,GK
Fabio Miretti,ITA,Juventus,20,2003,11.2,2,0,0,16,28,1,30,7,13,0,0,0,63,3,10,23.1,MF
Filippo Missori,ITA,Sassuolo,20,2004,1.4,0,0,0,0,1,0,3,2,2,0,0,0,5,2,0,100.0,DF
Stefan Mitrović,SRB,Hellas Verona,21,2002,3.5,0,0,0,7,4,1,13,0,3,0,0,0,16,4,9,30.8,FW
Henrikh Mkhitaryan,ARM,Inter,35,1989,29.6,4,0,0,34,28,3,31,29,33,1,0,0,180,15,15,50.0,MF
Player,,Squad,Ag,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Po
Ilario Monterisi,ITA,Frosinone,22,2001,16.2,1,0,0,10,17,1,5,8,13,1,1,0,77,41,28,59.4,DF
Lorenzo Montipò,ITA,Hellas Verona,28,1996,34.0,0,0,0,0,3,0,0,0,1,0,0,0,45,5,1,83.3,GK
Nikola Moro,CRO,Bologna,26,1998,8.0,0,0,0,11,6,0,10,6,14,0,0,0,38,3,10,23.1,MF
Dany Mota,POR,Monza,25,1998,20.1,3,0,0,20,24,6,76,2,6,2,0,0,66,36,46,43.9,FW
Samuele Mulattieri,ITA,Sassuolo,23,2000,4.2,1,0,0,5,3,0,0,1,1,1,0,0,17,22,29,43.1,FW
Luis Muriel,COL,Atalanta,33,1991,4.5,0,0,0,6,14,1,31,1,2,0,0,0,18,6,7,46.2,FW
Yunus Musah,USA,Milan,21,2002,14.6,5,0,0,21,18,2,25,10,12,0,0,0,68,11,18,37.9,MF
Juan Musso,ARG,Atalanta,29,1994,10.0,0,0,0,1,0,0,0,0,0,0,1,0,21,2,0,100.0,GK
Kingstone Mutandwa,ZAM,Cagliari,21,2003,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,60.0,MF
Obite N'Dicka,CIV,Roma,24,1999,20.1,5,0,0,21,15,0,9,12,15,0,0,0,95,28,21,57.1,DF
Nahitan Nández,URU,Cagliari,28,1995,21.7,6,0,0,42,21,6,135,16,31,0,0,0,121,24,38,38.7,MF
Natan,BRA,Napoli,23,2001,10.6,3,1,1,13,6,0,5,8,10,0,0,0,39,25,23,52.1,DF
Michel Ndary Adopo,FRA,Atalanta,23,2000,1.0,0,0,0,1,1,1,1,0,2,0,0,0,10,2,1,66.7,MF
Dan Ndoye,SUI,Bologna,23,2000,17.3,4,0,0,26,52,6,43,8,14,0,0,0,97,6,15,28.6,FW
Cyril Ngonge,BEL,Hellas Verona,23,2000,15.9,4,0,0,31,22,3,51,4,9,0,0,0,55,24,42,36.4,FW
Cyril Ngonge,BEL,Napoli,23,2000,2.4,2,0,0,2,8,1,11,0,1,0,0,0,12,4,2,66.7,FW
M'Baye Niang,SEN,Empoli,29,1994,6.1,0,0,0,10,22,6,3,1,1,0,0,0,12,14,26,35.0,FW
Hans Nicolussi Caviglia,ITA,Juventus,23,2000,2.8,1,0,0,1,9,0,17,0,1,0,0,0,16,2,2,50.0,MF
Joseph Nonge,BEL,Juventus,18,2005,0.3,1,0,0,3,1,0,0,0,0,0,1,0,1,1,0,100.0,MF
Tijjani Noslin,NED,Hellas Verona,24,1999,10.9,1,0,0,11,8,2,13,2,4,1,0,0,48,37,52,41.6,FW
Simeon Nwankwo,NGA,Salernitana,31,1992,7.3,0,0,0,10,17,2,0,0,3,0,0,0,13,24,39,38.1,FW
M'Bala Nzola,ANG,Fiorentina,27,1996,14.7,1,0,0,32,7,19,6,0,6,1,0,0,44,47,58,44.8,FW
Adam Obert,SVK,Cagliari,21,2002,7.4,1,0,0,11,2,0,10,14,6,0,0,0,44,12,11,52.2,DF
Pedro Obiang,EQG,Sassuolo,32,1992,2.6,0,0,0,4,0,0,0,7,3,0,0,0,11,1,3,25.0,MF
Guillermo Ochoa,MEX,Salernitana,38,1985,21.0,0,0,0,0,0,0,0,0,0,0,0,0,18,2,0,100.0,GK
Player,,Squad,Ag,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Po
Jens Odgaard,DEN,Bologna,25,1999,2.8,1,0,0,10,6,4,3,1,3,0,0,0,10,6,14,30.0,FW
Noah Okafor,SUI,Milan,23,2000,8.4,1,0,0,12,7,2,19,0,3,0,0,0,24,7,12,36.8,FW
David Okereke,NGA,Torino,26,1997,2.7,0,0,0,2,3,2,4,1,1,0,0,0,9,7,8,46.7,FW
Caleb Okoli,ITA,Frosinone,22,2001,28.5,8,0,0,22,21,0,2,26,28,0,2,0,150,70,51,57.9,DF
