Player,Nation,Squad,Age,Position,League,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Goals,Penalty Kicked,Yellow Cards,Red Cards,xG,Non-Penalty xG,xAG,npxG+xAG,Progressive Carries,Progressive Passes,Progressive Passes Received
Saúl Coco,EQG,Las Palmas,24,DF,La Liga,30,26,2295,25.5,0.0392156862745098,0.0,0.0392156862745098,0.0392156862745098,0.0,0.0,0.23529411764705882,0.0392156862745098,0.04313725490196079,0.04313725490196079,0.0,0.04313725490196079,0.3529411764705882,2.7058823529411766,0.0392156862745098
Séamus Coleman,IRL,Everton,34,DF,Premier League,12,7,665,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13533834586466167,0.13533834586466167,0.6766917293233082,2.977443609022556,2.165413533834587
Maxime Colin,FRA,Metz,31,DF,Ligue 1,22,22,1832,20.4,0.0,0.0,0.0,0.0,0.0,0.0,0.14737991266375544,0.0,0.014737991266375546,0.014737991266375546,0.019650655021834062,0.034388646288209604,1.1299126637554584,3.2914847161572056,1.0807860262008733
Nathan Collins,IRL,Brentford,22,DF,Premier League,32,29,2652,29.5,0.03393665158371041,0.03393665158371041,0.06787330316742082,0.03393665158371041,0.0,0.0,0.10180995475113123,0.0,0.057692307692307696,0.057692307692307696,0.07466063348416291,0.1323529411764706,0.3733031674208145,3.29185520361991,0.6108597285067874
Nnamdi Collins,GER,Eint Frankfurt,19,DF,Bundesliga,2,1,90,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.999999999999998,5.0
Levi Colwill,ENG,Chelsea,20,DF,Premier League,23,20,1797,20.0,0.05008347245409015,0.05008347245409015,0.1001669449081803,0.05008347245409015,0.0,0.0,0.1001669449081803,0.0,0.0651085141903172,0.0651085141903172,0.06010016694490818,0.12520868113522537,1.1519198664440735,3.656093489148581,1.3522537562604342
Eray Cömert,SUI,Nantes,25,DF,Ligue 1,25,23,1995,22.2,0.09022556390977443,0.0,0.09022556390977443,0.09022556390977443,0.0,0.0,0.22556390977443608,0.0,0.031578947368421054,0.031578947368421054,0.009022556390977444,0.03609022556390978,0.3157894736842105,2.571428571428571,0.13533834586466167
Pietro Comuzzo,ITA,Fiorentina,18,DF,Serie A,4,0,43,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0930232558139537,0.0,0.0,0.0,0.0,0.0,0.0,6.27906976744186,0.0
Copete,ESP,Mallorca,23,DF,La Liga,19,17,1333,14.8,0.06751687921980495,0.06751687921980495,0.1350337584396099,0.06751687921980495,0.0,0.0,0.47261815453863465,0.0,0.03375843960990248,0.03375843960990248,0.054013503375843964,0.08777194298574643,0.20255063765941483,3.5108777194298577,0.1350337584396099
Diego Coppola,ITA,Hellas Verona,19,DF,Serie A,24,18,1634,18.2,0.11015911872705017,0.0,0.11015911872705017,0.11015911872705017,0.0,0.0,0.49571603427172584,0.0,0.06609547123623011,0.06609547123623011,0.011015911872705019,0.07711138310893512,0.055079559363525085,2.203182374541004,0.0
Tommaso Corazza,ITA,Bologna,19,DF,Serie A,9,1,195,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.46153846153846156,0.0,0.046153846153846156,0.046153846153846156,0.046153846153846156,0.09230769230769231,4.615384615384615,6.461538461538461,4.153846153846154
Thierry Correia,POR,Valencia,24,DF,La Liga,31,25,2154,23.9,0.0,0.08356545961002786,0.08356545961002786,0.0,0.0,0.0,0.1671309192200557,0.04178272980501393,0.025069637883008356,0.025069637883008356,0.08774373259052926,0.11281337047353761,1.671309192200557,3.342618384401114,2.3398328690807797
Danny da Costa,GER,Mainz 05,30,DF,Bundesliga,19,9,830,9.2,0.0,0.10843373493975905,0.10843373493975905,0.0,0.0,0.0,0.10843373493975905,0.0,0.03253012048192771,0.03253012048192771,0.13012048192771083,0.16265060240963855,2.3855421686746987,4.337349397590362,5.746987951807229
Jaume Costa,ESP,Mallorca,35,DF,La Liga,30,19,1682,18.7,0.0,0.0535077288941736,0.0535077288941736,0.0,0.0,0.0,0.3745541022592152,0.0,0.01605231866825208,0.01605231866825208,0.06420927467300833,0.0802615933412604,1.8192627824019025,2.67538644470868,5.564803804994055
Logan Costa,CPV,Toulouse,22,DF,Ligue 1,31,29,2650,29.4,0.033962264150943396,0.033962264150943396,0.06792452830188679,0.033962264150943396,0.0,0.0,0.2037735849056604,0.0,0.047547169811320754,0.047547169811320754,0.020377358490566037,0.06792452830188679,0.6452830188679245,4.9245283018867925,0.4754716981132076
Vladimír Coufal,CZE,West Ham,30,DF,Premier League,36,36,3132,34.8,0.0,0.20114942528735633,0.20114942528735633,0.0,0.0,0.0,0.20114942528735633,0.02873563218390805,0.008620689655172414,0.008620689655172414,0.1149425287356322,0.12356321839080459,1.9540229885057472,3.4195402298850572,3.6206896551724137
Mamadou Coulibaly,SEN,Salernitana,24,DF,Serie A,1,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yan Couto,BRA,Girona,21,DF,La Liga,34,24,2245,24.9,0.0400890868596882,0.3207126948775056,0.36080178173719374,0.0400890868596882,0.0,0.0,0.3207126948775056,0.0,0.060133630289532294,0.060133630289532294,0.16837416481069042,0.2285077951002227,6.0534521158129175,3.888641425389755,9.621380846325167
Nicolas Cozza,FRA,Nantes,24,DF,Ligue 1,13,10,895,9.9,0.0,0.0,0.0,0.0,0.0,0.0,0.20111731843575417,0.0,0.07039106145251396,0.07039106145251396,0.060335195530726256,0.12067039106145251,1.1061452513966479,2.011173184357542,3.016759776536313
Nicolas Cozza,FRA,Wolfsburg,24,DF,Bundesliga,6,3,276,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.32608695652173914,0.0,0.0,0.0,0.03260869565217391,0.03260869565217391,1.6304347826086958,5.217391304347826,2.608695652173913
Aaron Cresswell,ENG,West Ham,33,DF,Premier League,11,4,436,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.20642201834862386,0.0,0.0,0.0,0.08256880733944955,0.08256880733944955,0.8256880733944955,5.366972477064221,1.2385321100917432
Juan Cruz Armada,ESP,Osasuna,31,DF,La Liga,26,18,1667,18.5,0.0,0.05398920215956808,0.05398920215956808,0.0,0.0,0.0,0.16196760647870426,0.0,0.0,0.0,0.021595680863827234,0.021595680863827234,0.8638272345530893,4.157168566286743,1.5656868626274747
Juan Cuadrado,COL,Inter,35,DF,Serie A,10,0,267,3.0,0.0,0.6741573033707865,0.6741573033707865,0.0,0.0,0.0,0.33707865168539325,0.0,0.06741573033707865,0.06741573033707865,0.5393258426966292,0.5730337078651685,5.730337078651686,3.7078651685393256,11.797752808988763
Pau Cubarsí,ESP,Barcelona,16,DF,La Liga,19,18,1558,17.3,0.0,0.0,0.0,0.0,0.0,0.0,0.2310654685494223,0.0,0.005776636713735558,0.005776636713735558,0.023106546854942234,0.02888318356867779,0.4621309370988446,4.332477535301669,0.11553273427471115
Marc Cucurella,ESP,Chelsea,25,DF,Premier League,21,20,1782,19.8,0.0,0.10101010101010102,0.10101010101010102,0.0,0.0,0.0,0.505050505050505,0.0,0.055555555555555566,0.055555555555555566,0.055555555555555566,0.11111111111111113,1.5656565656565657,2.5252525252525255,3.686868686868687
Jorge Cuenca,ESP,Villarreal,23,DF,La Liga,29,21,1963,21.8,0.13754457463066735,0.04584819154355578,0.18339276617422312,0.13754457463066735,0.0,0.0,0.32093734080489045,0.0,0.05501782985226694,0.05501782985226694,0.009169638308711156,0.06877228731533368,0.5043301069791136,3.576158940397351,1.3754457463066734
Eric Curbelo,ESP,Las Palmas,29,DF,La Liga,2,1,102,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5294117647058822,0.0
Sam Curtis,IRL,Sheffield Utd,17,DF,Premier League,1,0,28,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.214285714285714,3.214285714285714
Danilo D'Ambrosio,ITA,Monza,34,DF,Serie A,24,16,1536,17.1,0.0,0.0,0.0,0.0,0.0,0.0,0.29296875,0.05859375,0.04101562499999999,0.04101562499999999,0.01171875,0.046875,0.703125,3.57421875,1.46484375
Ameen Al-Dakhil,BEL,Burnley,21,DF,Premier League,13,12,1056,11.7,0.08522727272727273,0.0,0.08522727272727273,0.08522727272727273,0.0,0.0,0.08522727272727273,0.0,0.11079545454545456,0.11079545454545456,0.008522727272727272,0.11931818181818181,0.5965909090909091,2.9829545454545454,0.7670454545454545
Diogo Dalot,POR,Manchester Utd,24,DF,Premier League,36,35,3174,35.3,0.05671077504725898,0.08506616257088848,0.14177693761814744,0.05671077504725898,0.0,0.0,0.17013232514177695,0.02835538752362949,0.048204158790170135,0.048204158790170135,0.08223062381852551,0.13043478260869562,1.4744801512287333,3.516068052930057,3.1474480151228734
Flavius Daniliuc,AUT,Salernitana,22,DF,Serie A,14,8,744,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.24193548387096775,0.0,0.024193548387096774,0.024193548387096774,0.024193548387096774,0.06048387096774194,0.967741935483871,4.475806451612903,0.24193548387096775
Danilo,BRA,Juventus,32,DF,Serie A,29,27,2452,27.2,0.0367047308319739,0.0367047308319739,0.0734094616639478,0.0367047308319739,0.0,0.0,0.2569331158238173,0.0,0.04771615008156607,0.04771615008156607,0.03303425774877651,0.08075040783034258,0.6606851549755302,5.9094616639477975,0.7707993474714518
Kevin Danso,AUT,Lens,24,DF,Ligue 1,30,30,2655,29.5,0.03389830508474576,0.0,0.03389830508474576,0.03389830508474576,0.0,0.0,0.2033898305084746,0.0,0.061016949152542375,0.061016949152542375,0.013559322033898305,0.07457627118644068,0.9152542372881355,4.508474576271186,0.1016949152542373
Dante,BRA,Nice,39,DF,Ligue 1,32,32,2843,31.6,0.03165670066830813,0.03165670066830813,0.06331340133661625,0.03165670066830813,0.0,0.0,0.15828350334154062,0.03165670066830813,0.028491030601477313,0.028491030601477313,0.03165670066830813,0.06331340133661625,0.41153710868800564,5.856489623637002,0.18994020400984876
Raimane Daou,COM,Marseille,18,DF,Ligue 1,1,0,25,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6
Achraf Dari,MAR,Brest,24,DF,Ligue 1,4,1,121,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.950413223140496,0.0
Matteo Darmian,ITA,Inter,33,DF,Serie A,33,27,2404,26.7,0.07487520798668885,0.03743760399334443,0.11231281198003328,0.07487520798668885,0.0,0.0,0.07487520798668885,0.0,0.04492512479201331,0.04492512479201331,0.06738768718801998,0.11231281198003328,0.6738768718801997,2.695507487520799,3.069883527454243
Josh Dasilva,ENG,Brentford,24,DF,Premier League,3,0,24,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.75,7.5,7.5,18.75
Juan David Cabal,COL,Hellas Verona,22,DF,Serie A,22,17,1497,16.6,0.0,0.0,0.0,0.0,0.0,0.0,0.3607214428857715,0.0,0.030060120240480964,0.030060120240480964,0.02404809619238477,0.05410821643286573,1.56312625250501,4.208416833667335,2.885771543086172
Alphonso Davies,CAN,Bayern Munich,22,DF,Bundesliga,29,24,2065,22.9,0.08716707021791767,0.2179176755447942,0.30508474576271183,0.08716707021791767,0.0,0.0,0.0,0.0,0.043583535108958835,0.043583535108958835,0.12639225181598063,0.16561743341404359,5.273607748184019,5.099273607748184,6.058111380145278
Ben Davies,WAL,Tottenham,30,DF,Premier League,17,12,1090,12.1,0.08256880733944955,0.0,0.08256880733944955,0.08256880733944955,0.0,0.0,0.1651376146788991,0.0,0.18990825688073393,0.18990825688073393,0.03302752293577982,0.22293577981651375,1.073394495412844,5.862385321100918,1.651376146788991
Paweł Dawidowicz,POL,Hellas Verona,28,DF,Serie A,28,25,2143,23.8,0.0,0.0,0.0,0.0,0.0,0.0,0.2099860009332711,0.0,0.020998600093327113,0.020998600093327113,0.0,0.025198320111992533,0.46196920205319647,3.737750816612226,0.2099860009332711
Craig Dawson,ENG,Wolves,33,DF,Premier League,25,25,2209,24.5,0.040742417383431415,0.040742417383431415,0.08148483476686283,0.040742417383431415,0.0,0.0,0.28519692168401994,0.0,0.06111362607514713,0.06111362607514713,0.057039384336803986,0.1181530104119511,0.040742417383431415,1.9963784517881393,0.16296966953372566
Mattia De Sciglio,ITA,Juventus,30,DF,Serie A,1,1,45,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0
Lorenzo De Silvestri,ITA,Bologna,35,DF,Serie A,15,7,674,7.5,0.26706231454005935,0.0,0.26706231454005935,0.26706231454005935,0.0,0.0,0.0,0.0,0.026706231454005937,0.026706231454005937,0.0,0.026706231454005937,1.8694362017804154,3.605341246290801,1.6023738872403561
Thibault De Smet,BEL,Reims,25,DF,Ligue 1,27,22,1831,20.3,0.0,0.0,0.0,0.0,0.0,0.0,0.3440742763517204,0.049153468050245765,0.014746040415073729,0.014746040415073729,0.03932277444019662,0.05406881485527035,1.1305297651556525,5.11196067722556,3.2441288913162203
Koni De Winter,BEL,Genoa,21,DF,Serie A,29,26,2380,26.4,0.0,0.03781512605042017,0.03781512605042017,0.0,0.0,0.0,0.3025210084033614,0.03781512605042017,0.030252100840336135,0.030252100840336135,0.03781512605042017,0.0680672268907563,0.7941176470588235,2.8739495798319323,0.5672268907563025
Thomas Delaine,FRA,Strasbourg,31,DF,Ligue 1,27,24,2044,22.7,0.04403131115459882,0.04403131115459882,0.08806262230919765,0.04403131115459882,0.0,0.0,0.22015655577299412,0.0,0.074853228962818,0.074853228962818,0.1585127201565558,0.23336594911937378,2.773972602739726,2.2896281800391387,6.648727984344422
Hannes Delcroix,BEL,Burnley,24,DF,Premier League,12,5,589,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.30560271646859083,0.0,0.06112054329371817,0.06112054329371817,0.030560271646859084,0.09168081494057724,0.30560271646859083,2.7504244482173177,0.9168081494057726
Alessandro Dellavalle,ITA,Torino,19,DF,Serie A,1,0,15,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
Olivier Deman,BEL,Werder Bremen,23,DF,Bundesliga,29,14,1365,15.2,0.13186813186813187,0.06593406593406594,0.1978021978021978,0.13186813186813187,0.0,0.0,0.32967032967032966,0.0,0.07252747252747253,0.07252747252747253,0.05934065934065934,0.13186813186813187,1.7142857142857144,2.6373626373626373,3.4945054945054945
Sepp van den Berg,NED,Mainz 05,21,DF,Bundesliga,33,31,2839,31.5,0.095103909827404,0.0,0.095103909827404,0.095103909827404,0.0,0.0,0.28531172948221206,0.0,0.08559351884466362,0.08559351884466362,0.009510390982740402,0.095103909827404,0.22190912293060938,3.0116238112011273,0.190207819654808
Mikkel Desler,DEN,Toulouse,28,DF,Ligue 1,24,19,1544,17.2,0.0,0.05829015544041451,0.05829015544041451,0.0,0.0,0.0,0.11658031088082901,0.0,0.06411917098445596,0.05829015544041451,0.04080310880829015,0.09909326424870465,1.7487046632124352,4.721502590673575,5.595854922279793
Giovanni Di Lorenzo,ITA,Napoli,29,DF,Serie A,36,36,3234,35.9,0.02782931354359926,0.16697588126159554,0.19480519480519481,0.02782931354359926,0.0,0.0,0.16697588126159554,0.0,0.0862708719851577,0.0862708719851577,0.13636363636363638,0.22263450834879409,2.6437847866419295,8.460111317254174,6.957328385899815
Alessandro Di Pardo,ITA,Cagliari,24,DF,Serie A,15,2,359,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025069637883008356,0.025069637883008356,0.05013927576601671,0.07520891364902507,1.5041782729805016,2.7576601671309193,4.763231197771588
Mouctar Diakhaby,GUI,Valencia,26,DF,La Liga,14,12,1073,11.9,0.08387698042870456,0.0,0.08387698042870456,0.08387698042870456,0.0,0.0,0.5032618825722274,0.0,0.05871388630009319,0.05871388630009319,0.0,0.06710158434296365,0.587138863000932,2.4324324324324325,0.08387698042870456
Bafodé Diakité,FRA,Lille,22,DF,Ligue 1,21,19,1696,18.8,0.2653301886792453,0.1061320754716981,0.3714622641509434,0.2653301886792453,0.0,0.0,0.2122641509433962,0.0,0.1061320754716981,0.1061320754716981,0.07429245283018868,0.1857311320754717,0.7959905660377359,5.04127358490566,0.8490566037735848
Ibrahim Diakité,GUI,Reims,19,DF,Ligue 1,5,1,109,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1651376146788991,0.1651376146788991,5.779816513761468,5.779816513761468,7.431192660550459
Moussa Diarra,MLI,Toulouse,22,DF,Ligue 1,22,15,1397,15.5,0.06442376521116679,0.12884753042233357,0.19327129563350037,0.06442376521116679,0.0,0.0,0.3221188260558339,0.0,0.03221188260558339,0.03221188260558339,0.07086614173228348,0.10307802433786686,1.1596277738010021,4.509663564781675,0.7730851825340015
Rúben Dias,POR,Manchester City,26,DF,Premier League,30,28,2559,28.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049237983587338795,0.049237983587338795,0.010550996483001172,0.05978898007033997,1.1957796014067996,6.084407971864009,0.5627198124267292
Krépin Diatta,SEN,Monaco,24,DF,Ligue 1,26,12,1206,13.4,0.0,0.1492537313432836,0.1492537313432836,0.0,0.0,0.0,0.1492537313432836,0.0,0.0373134328358209,0.0373134328358209,0.13432835820895522,0.17164179104477612,3.582089552238806,5.970149253731344,7.08955223880597
Víctor Díaz,ESP,Granada,35,DF,La Liga,4,2,162,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,1.1111111111111112,0.0
Eric Dier,ENG,Tottenham,29,DF,Premier League,4,1,201,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3432835820895521,0.0
Eric Dier,ENG,Bayern Munich,29,DF,Bundesliga,15,13,1166,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07718696397941681,0.0,0.05403087478559176,0.05403087478559176,0.007718696397941682,0.05403087478559176,0.6174957118353345,4.090909090909091,0.07718696397941681
Lucas Digne,FRA,Aston Villa,30,DF,Premier League,33,27,2410,26.8,0.03734439834024896,0.11203319502074688,0.14937759336099585,0.03734439834024896,0.0,0.0,0.26141078838174275,0.0,0.04107883817427386,0.04107883817427386,0.15311203319502073,0.1941908713692946,1.5684647302904564,2.8755186721991697,7.468879668049793
Federico Dimarco,ITA,Inter,25,DF,Serie A,30,29,2077,23.1,0.21665864227250844,0.2599903707270101,0.47664901299951856,0.21665864227250844,0.0,0.0,0.0,0.0,0.1256620125180549,0.11699566682715455,0.36831969186326435,0.4809821858449687,2.209918151179586,4.333172845450169,8.579682233991333
Sinaly Diomande,CIV,Lyon,22,DF,Ligue 1,10,10,889,9.9,0.0,0.0,0.0,0.0,0.0,0.0,0.20247469066366705,0.0,0.10123734533183353,0.10123734533183353,0.07086614173228346,0.17210348706411696,0.5061867266591675,4.353205849268841,0.0
Issa Diop,FRA,Fulham,26,DF,Premier League,18,16,1424,15.8,0.0,0.0,0.0,0.0,0.0,0.0,0.25280898876404495,0.06320224719101124,0.018960674157303372,0.018960674157303372,0.0,0.018960674157303372,0.6952247191011236,4.171348314606742,0.06320224719101124
Axel Disasi,FRA,Chelsea,25,DF,Premier League,31,29,2579,28.7,0.06979449398991858,0.0,0.06979449398991858,0.06979449398991858,0.0,0.0,0.20938348196975573,0.0,0.08375339278790228,0.08375339278790228,0.010469174098487785,0.09422256688639008,1.0469174098487786,3.9084916634354405,0.7328421868941449
Tiago Djaló,POR,Juventus,23,DF,Serie A,1,0,17,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.294117647058823,10.588235294117647,0.0
Djené,TOG,Getafe,31,DF,La Liga,33,30,2484,27.6,0.0,0.0,0.0,0.0,0.0,0.0,0.5072463768115942,0.036231884057971016,0.0036231884057971015,0.0036231884057971015,0.010869565217391304,0.014492753623188406,0.47101449275362317,3.5507246376811596,0.6884057971014493
Koffi Djidji,CIV,Torino,30,DF,Serie A,13,8,759,8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.23715415019762848,0.0,0.011857707509881424,0.011857707509881424,0.0,0.011857707509881424,0.47430830039525695,2.2529644268774702,0.3557312252964427
Berat Djimsiti,ALB,Atalanta,30,DF,Serie A,37,32,2832,31.5,0.0,0.03177966101694915,0.03177966101694915,0.0,0.0,0.0,0.15889830508474576,0.0,0.025423728813559324,0.025423728813559324,0.022245762711864406,0.04766949152542373,0.1906779661016949,2.510593220338983,0.3177966101694915
Ritsu Doan,JPN,Freiburg,25,DF,Bundesliga,30,26,2246,25.0,0.2804986642920748,0.08014247551202137,0.3606411398040961,0.2804986642920748,0.0,0.0,0.08014247551202137,0.0,0.20035618878005343,0.20035618878005343,0.12422083704363313,0.3245770258236865,1.9634906500445237,3.1255565449688336,5.569902048085486
Dodô,BRA,Fiorentina,24,DF,Serie A,9,7,523,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017208413001912046,0.017208413001912046,0.13766730401529637,0.15487571701720843,3.4416826003824093,6.711281070745699,3.6137667304015295
Danilho Doekhi,NED,Union Berlin,25,DF,Bundesliga,24,24,2160,24.0,0.08333333333333334,0.0,0.08333333333333334,0.08333333333333334,0.0,0.0,0.08333333333333334,0.0,0.05,0.05,0.008333333333333335,0.05416666666666667,0.2916666666666667,2.708333333333333,0.25
Matt Doherty,IRL,Wolves,31,DF,Premier League,30,9,1150,12.8,0.0782608695652174,0.0,0.0782608695652174,0.0782608695652174,0.0,0.0,0.1565217391304348,0.0,0.06260869565217392,0.06260869565217392,0.10173913043478262,0.17217391304347826,0.9391304347826088,2.426086956521739,5.008695652173913
Josh Doig,SCO,Hellas Verona,21,DF,Serie A,12,11,830,9.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2168674698795181,0.0,0.021686746987951807,0.021686746987951807,0.03253012048192771,0.054216867469879526,2.4939759036144578,1.6265060240963856,2.3855421686746987
Josh Doig,SCO,Sassuolo,21,DF,Serie A,16,15,1343,14.9,0.0,0.1340282948622487,0.1340282948622487,0.0,0.0,0.0,0.33507073715562175,0.0,0.013402829486224871,0.013402829486224871,0.07371556217423679,0.08711839166046165,2.0104244229337307,2.2114668652271035,3.015636634400596
Carlos Dominguez,ESP,Celta Vigo,22,DF,La Liga,22,18,1584,17.6,0.0,0.0,0.0,0.0,0.0,0.0,0.11363636363636365,0.0,0.017045454545454544,0.017045454545454544,0.005681818181818182,0.022727272727272728,0.625,3.5795454545454546,0.17045454545454547
Giulio Donati,ITA,Monza,33,DF,Serie A,4,0,36,0.4,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.5,0.5,0.0,7.5,12.5
Patrick Dorgu,DEN,Lecce,18,DF,Serie A,32,17,1564,17.4,0.11508951406649617,0.0,0.11508951406649617,0.11508951406649617,0.0,0.0,0.3452685421994885,0.0,0.11508951406649617,0.11508951406649617,0.09207161125319695,0.2071611253196931,2.129156010230179,2.8196930946291556,4.9488491048593355
Alberto Dossena,ITA,Cagliari,24,DF,Serie A,35,33,2977,33.1,0.06046355391333557,0.12092710782667114,0.18139066174000673,0.06046355391333557,0.0,0.0,0.15115888478333894,0.0,0.06650990930466913,0.06650990930466913,0.06348673160900235,0.12999664091367147,0.2720859926100101,2.690628149143433,0.06046355391333557
Guela Doué,CIV,Rennes,20,DF,Ligue 1,24,13,1234,13.7,0.0,0.1458670988654781,0.1458670988654781,0.0,0.0,0.0,0.07293354943273905,0.07293354943273905,0.03646677471636953,0.03646677471636953,0.08022690437601297,0.11669367909238251,2.990275526742302,3.86547811993517,6.19935170178282
Alfie Doughty,ENG,Luton Town,23,DF,Premier League,37,34,2925,32.5,0.06153846153846154,0.24615384615384617,0.3076923076923077,0.06153846153846154,0.0,0.0,0.15384615384615385,0.0,0.04,0.04,0.19384615384615383,0.23384615384615384,2.8923076923076922,3.2615384615384615,5.046153846153847
Radu Drăgușin,ROU,Tottenham,21,DF,Premier League,9,4,429,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.2097902097902098,0.0,0.02097902097902098,0.02097902097902098,0.0,0.02097902097902098,1.048951048951049,1.6783216783216783,0.2097902097902098
Radu Drăgușin,ROU,Genoa,21,DF,Serie A,19,19,1710,19.0,0.10526315789473685,0.052631578947368425,0.15789473684210525,0.10526315789473685,0.0,0.0,0.052631578947368425,0.0,0.052631578947368425,0.052631578947368425,0.042105263157894736,0.1,0.3157894736842105,1.526315789473684,0.6842105263157895
Tim Drexler,GER,Hoffenheim,18,DF,Bundesliga,8,6,573,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.15706806282722513,0.0,0.0,0.0,0.0,0.0,0.9424083769633509,1.8848167539267018,0.0
Domingos Duarte,POR,Getafe,28,DF,La Liga,15,11,907,10.1,0.0,0.0,0.0,0.0,0.0,0.0,0.496141124586549,0.19845644983461963,0.02976846747519294,0.02976846747519294,0.009922822491730982,0.03969128996692393,0.6945975744211687,4.663726571113561,0.0
Rubén Duarte,ESP,Alavés,27,DF,La Liga,28,21,1878,20.9,0.09584664536741215,0.047923322683706075,0.1437699680511182,0.09584664536741215,0.0,0.0,0.3354632587859425,0.0,0.03354632587859425,0.03354632587859425,0.0718849840255591,0.10543130990415336,0.7667731629392972,3.8817891373801916,1.8690095846645367
Denzel Dumfries,NED,Inter,27,DF,Serie A,31,19,1639,18.2,0.21964612568639413,0.21964612568639413,0.43929225137278827,0.21964612568639413,0.0,0.0,0.10982306284319707,0.05491153142159853,0.12629652226967664,0.12629652226967664,0.2690665039658328,0.38987187309334964,2.7455765710799267,2.800488102501525,8.071995118974984
Paul Dummett,WAL,Newcastle Utd,31,DF,Premier League,5,0,20,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,4.5,0.0
Lewis Dunk,ENG,Brighton,31,DF,Premier League,33,33,2869,31.9,0.09410944579993029,0.03136981526664343,0.12547926106657373,0.09410944579993029,0.0,0.0,0.21958870686650403,0.03136981526664343,0.09724642732659464,0.09724642732659464,0.028232833739979087,0.12547926106657373,1.035203903799233,4.768211920529802,0.4078075984663646
Jean-Kevin Duverne,HAI,Nantes,26,DF,Ligue 1,19,15,1348,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3338278931750742,0.0,0.02002967359050445,0.02002967359050445,0.013353115727002969,0.03338278931750742,1.201780415430267,4.27299703264095,1.5356083086053411
Festy Ebosele,IRL,Udinese,20,DF,Serie A,31,20,1700,18.9,0.0,0.0,0.0,0.0,0.0,0.0,0.31764705882352945,0.05294117647058823,0.042352941176470586,0.042352941176470586,0.09529411764705883,0.13764705882352943,3.547058823529412,1.8529411764705883,5.188235294117647
Enzo Ebosse,CMR,Udinese,24,DF,Serie A,1,0,8,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.25,0.0
Tyronne Ebuehi,NGA,Empoli,27,DF,Serie A,15,11,1099,12.2,0.0,0.0818926296633303,0.0818926296633303,0.0,0.0,0.0,0.0,0.0,0.02456778889899909,0.02456778889899909,0.07370336669699727,0.09827115559599636,2.78434940855323,3.030027297543221,2.8662420382165603
